priority,need,fit,name,corp_code,stock_code,listed,sector,industry,type,rev,cagr3,ebitda,ebitda_m,net_debt,nd_ebitda,debt_ratio,curr_ratio,cash,draw_3y,dep_ratio,nd_per_rev,gap_12m,gap_3y,gap_basis,fs_year,fs_source,fs_ocf,fs_capex,fs_dividend,fs_lease_repay,fs_fcf,fs_gross_debt,fs_borrowings_st,fs_d_net_debt_measured,fs_uses_direct,fs_residual,fs_residual_pct,fs_ebitda_source,angle_primary,angles_detail,min_cash_pct,min_cash_basis,runway_m,status,last_funding_date,last_funding_nm,drivers
72.9,67.1,50.7,(주)코리아더커드,00604374,,false,제조업,식료품 제조,REFI(롤오버형),533.4,0.014,25.3,0.048,141,5.6,4.324,0.726,3,63.5,1.037,0.257,25,40,measured_cashbridge,2025,audit,17.7,13.8,,,3.9,144,116.9,-1.4,8.4,8,0.015,op+dep,부실·리파이낸싱,부실·리파이낸싱(positive): 레버리지 부담은 크나 매출 회복 + 마진 반등 — 시황 저점 진입 가능성,0.02,company_history,,UNLISTED_BLIND,,,순부채/EBITDA 5.6x / 부채비율 432% (3년 149%p↑) / 3년 순부채 +64억 vs EBITDA합 61억 / 유동비율 73% / 현금/매출 1% / 현금 2년 연속 감소
72.9,71.5,42.9,(주)유한팩,00612249,,false,제조업,화학물질·화학제품,REFI(롤오버형),482.4,0.068,3.9,0.008,145.5,37.3,4.867,0.408,11.5,31.9,0.661,0.396,26,62,measured_cashbridge,2025,audit,1.2,4.9,,,-3.8,157,141.8,6.1,11.9,-4.7,0.0097,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 7% 인데 EBITDA마진 2.8%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.02,company_history,,,,,순부채/EBITDA 37.3x / 부채비율 487% (3년 190%p↑) / EBITDA마진 4%→1% / 3년 순부채 +32억 vs EBITDA합 48억 / 유동비율 41% / 현금/매출 2%
72.9,44.1,92.4,(주)네오바이오텍,00652779,,false,제조업,의료·정밀·광학기기,GROWTH(성장자금형),1127.9,0.161,106.9,0.095,580.2,5.4,2.746,1.095,102.8,208,0.775,0.511,40,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(positive): 매출 CAGR 16% + 마진 유지 | 이벤트(neutral): 합병 — 승계·증여·분쟁 여부는 주주 레벨 사건이라 재무로 안 보임. 대주주 연령·지분율 개별 확인 필요,0.083,company_history,,IN_MOTION,2025-07-01,[기재정정]주요사항보고서(유상증자결정),순부채/EBITDA 5.4x / 부채비율 275% (3년 92%p↑) / 3년 순부채 +208억 vs EBITDA합 268억 / 매출 1원 성장에 순부채 0.51원 / 유동비율 110%
72.9,93,4.2,에이치엔아이엔씨(주),00808156,,false,정보통신,출판업,DISTRESS(구조조정형),417.2,-0.448,-410.6,-0.984,582.9,,-1.473,0.274,10.9,164.1,3,,243,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년 · 자본잠식),0.025,company_history,0,DISTRESS_EVENT,,,"EBITDA 적자 -411억 / 자본잠식 / EBITDA마진 -8%→-98% / 3년 순부채 +164억 vs EBITDA합 -1,035억 / 유동비율 27% / 현금/매출 3% / 현금 2년 연속 감소 / 영업적자 2/3년 / 런웨이 0개월"
72.9,65.5,53.7,(주)애즈랜드,01074844,,false,제조업,인쇄·기록매체 복제,REFI(롤오버형),310.8,0.003,27.3,0.088,205.5,7.5,2.466,0.144,6.3,101.2,1.377,1.593,19,29,measured_cashbridge,2025,audit,11,2.1,,,8.9,211.7,141.8,-13.4,-2.4,0,0,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류,0.02,company_history,,UNLISTED_BLIND,,,순부채/EBITDA 7.5x / 부채비율 247% / 3년 순부채 +101억 vs EBITDA합 73억 / 매출 1원 성장에 순부채 1.59원 / 유동비율 14% / 현금/매출 2%
72.9,70.5,44.5,부경에너지(주),01085594,,false,도소매,도매·상품중개,REFI(롤오버형),904.5,0.028,12.6,0.014,163.7,13,2.459,0.614,4.6,75.7,1.945,1.065,27,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류,0.008,company_history,,DISTRESS_EVENT,,,순부채/EBITDA 13.0x / 부채비율 246% / 3년 순부채 +76억 vs EBITDA합 39억 / 매출 1원 성장에 순부채 1.06원 / 유동비율 61% / 현금/매출 1%
72.9,57.7,67.8,(주)와이엠개발,01332030,,false,건설업,전문직별 공사,WC_BURN(운전자본형),353.5,0.612,22.2,0.063,380.6,17.1,2.836,2.866,124.6,318.5,1.445,1.019,0,0,measured_cashbridge,2025,audit,120.7,1.1,,,119.6,505.1,175.7,-135.4,-14.7,0,0,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 61% 인데 EBITDA마진 3.6%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.025,company_history,,UNLISTED_BLIND,,,순부채/EBITDA 17.1x / 부채비율 284% / EBITDA마진 12%→6% / 3년 순부채 +318억 vs EBITDA합 220억 / 매출 1원 성장에 순부채 1.02원
72.9,68.5,48.3,(주)태남글로벌,01406335,,false,도소매,도매·상품중개,REFI(롤오버형),818.5,0.045,20,0.024,273.5,13.7,3.552,0.999,57.5,262.1,2.514,2.05,37,186,measured_cashbridge,2025,audit,-33.2,13.9,2,,-47.1,330.9,315.9,48.7,16,-0.6,0.0007,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류,0.016,company_history,21,UNLISTED_BLIND,,,순부채/EBITDA 13.7x / 부채비율 355% / 3년 순부채 +262억 vs EBITDA합 104억 / 매출 1원 성장에 순부채 2.05원 / 유동비율 100% / 런웨이 21개월
72.9,45.3,90,(주)하고하우스,01743856,,false,제조업,가죽·가방·신발 제조,DISTRESS(구조조정형),2201.4,1.186,491.1,0.223,273.2,0.6,3.195,1.02,400.3,625,3,1.223,0,0,measured_cashbridge,2025,audit,362.1,118.9,,,243.2,673.5,673.5,-86.5,382.7,-107.1,0.0486,op+dep,성장,성장자금형(positive): 매출 CAGR 119% + 마진 유지 · capex/매출 5.4%,0.02,company_history,,,,,부채비율 320% (3년 1228%p↑) / 3년 순부채 +625억 vs EBITDA합 -42억 / 매출 1원 성장에 순부채 1.22원 / 유동비율 102%
72.8,42.5,94.6,칸플랜트(주),01656347,,false,제조업,기타 운송장비,GROWTH(성장자금형),1244.1,1.196,127,0.102,367.1,2.9,3.039,1.084,7.8,318.4,1.139,0.283,91,,netdebt_inferred,,,,,,,,,,,,,,,성장,성장자금형(positive): 매출 CAGR 120% + 마진 유지,0.02,company_history,,DISTRESS_EVENT,,,부채비율 304% / 3년 순부채 +318억 vs EBITDA합 279억 / 유동비율 108% / 현금/매출 1% / 현금 2년 연속 감소
72.8,74.2,37.5,신광약품(주),00182553,,false,도소매,도매·상품중개,REFI(롤오버형),697.6,-0.094,12.3,0.018,108.5,8.8,5.407,1.087,0.9,47.6,1.769,,16,16,measured_cashbridge,2025,audit,10.5,0,,,10.5,109.3,92.2,-11,-0.5,0,0,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 0/3년),0.008,company_history,,UNLISTED_BLIND,,,순부채/EBITDA 8.8x / 부채비율 541% / 3년 순부채 +48억 vs EBITDA합 27억 / 유동비율 109% / 현금/매출 0% / 현금 2년 연속 감소
72.8,68.4,48.2,(주)일화,00146694,,false,제조업,음료 제조,REFI(롤오버형),2985.4,0.002,14.8,0.005,552.3,37.3,0.898,1.051,197.8,488.1,2.249,1.308,157,709,measured_cashbridge,2025,audit,-30.4,179.6,,,-210,750.1,658.2,-19.1,-54.5,5,0.0017,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류,0.027,company_history,78,UNLISTED_BLIND,,,순부채/EBITDA 37.3x / EBITDA마진 4%→1% / 3년 순부채 +488억 vs EBITDA합 217억 / 매출 1원 성장에 순부채 1.31원 / 유동비율 105%
72.8,47.2,86.4,(주)한국일보사,00159050,,false,정보통신,출판업,REFI(롤오버형),1385.8,0.061,163.6,0.118,1456.9,8.9,0.579,0.612,178.7,551.8,1.161,1.571,0,0,measured_cashbridge,2025,audit,211.1,58.3,,,118.4,1635.6,1497,-534.8,-38.4,-285.3,0.2058,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(positive): 매출 CAGR 6% + 마진 유지 · capex/매출 4.2%,0.025,company_history,,UNLISTED_BLIND,,,순부채/EBITDA 8.9x / 3년 순부채 +552억 vs EBITDA합 475억 / 매출 1원 성장에 순부채 1.57원 / 유동비율 61%
72.8,68.2,48.3,(주)모팜,00528436,,false,제조업,자동차·트레일러,DISTRESS(구조조정형),908.3,0.054,63.2,0.07,413.8,6.5,4.127,0.658,12,20.8,3,0.411,48,126,measured_cashbridge,2025,audit,15.7,18.5,,,-2.8,425.8,374.6,-4.3,21.1,-9.7,0.0107,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년) | 성장자금형(positive): 매출 CAGR 5% + 마진 유지 · capex/매출 2.0%,0.02,company_history,,UNLISTED_BLIND,,,순부채/EBITDA 6.5x / 부채비율 413% (3년 73%p↑) / 3년 순부채 +21억 vs EBITDA합 -150억 / 유동비율 66% / 현금/매출 1% / 영업적자 2/3년
72.8,70.8,43.9,(주)하이시스이엔지,00624013,,false,제조업,금속가공제품,REFI(롤오버형),544.3,0.024,6.1,0.011,183.8,30.1,1.481,1.055,4.7,86.5,1.779,0.693,47,111,measured_cashbridge,2025,audit,-20.9,0.6,2.7,,-21.5,188.5,76,36.1,15.2,0,0,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류,0.02,company_history,3,,,,순부채/EBITDA 30.1x / 3년 순부채 +86억 vs EBITDA합 49억 / 매출 1원 성장에 순부채 0.69원 / 유동비율 106% / 현금/매출 1% / 현금 2년 연속 감소 / 런웨이 3개월
72.8,54,73.8,(주)우신화장품,00812654,,false,제조업,화학물질·화학제품,GROWTH(성장자금형),491.4,0.188,40.6,0.083,323.3,8,2.273,0.82,48.6,127.3,1.903,0.644,119,370,measured_cashbridge,2025,audit,43.2,166.8,,,-123.6,371.9,130.9,133.6,174,2.7,0.0055,op+dep,부실·리파이낸싱,부실·리파이낸싱(positive): 레버리지 부담은 크나 매출 회복 + 마진 반등 — 시황 저점 진입 가능성 | 성장자금형(positive): 매출 CAGR 19% + 마진 유지 · capex/매출 33.9%,0.07,company_history,,UNLISTED_BLIND,,,순부채/EBITDA 8.0x / 부채비율 227% / 3년 순부채 +127억 vs EBITDA합 67억 / 매출 1원 성장에 순부채 0.64원 / 유동비율 82%
72.8,85.9,16.5,STX마린서비스(주),00884633,,false,도소매,도매·상품중개,DISTRESS(구조조정형),1926.2,0.117,-211.9,-0.11,1290.7,,-9.998,0.927,86.8,862.6,3,1.59,278,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년 · 자본잠식) | 성장자금형(negative): 매출 CAGR 12% 인데 EBITDA마진 15.0%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.018,company_history,4,DISTRESS_EVENT,,,EBITDA 적자 -212억 / 자본잠식 / EBITDA마진 4%→-11% / 3년 순부채 +863억 vs EBITDA합 -149억 / 매출 1원 성장에 순부채 1.59원 / 유동비율 93% / 현금/매출 5% / 영업적자 2/3년 / 런웨이 4개월
72.8,55.1,71.9,(주)키프코전자항공,00916455,,false,제조업,전자부품·컴퓨터·통신장비,GROWTH(성장자금형),620.3,0.142,34.2,0.055,235.6,6.9,3.819,0.748,139.5,61.4,0.613,0.494,0,128,measured_cashbridge,2025,audit,-16.5,32.8,,,-57,375.2,252.4,11.6,48.6,11.5,0.0185,op+dep,부실·리파이낸싱,부실·리파이낸싱(positive): 레버리지 부담은 크나 매출 회복 + 마진 반등 — 시황 저점 진입 가능성 | 성장자금형(positive): 매출 CAGR 14% + 마진 유지 · capex/매출 5.3%,0.02,company_history,101,,,,순부채/EBITDA 6.9x / 부채비율 382% (3년 96%p↑) / 3년 순부채 +61억 vs EBITDA합 100억 / 유동비율 75%
